Ref,Val,Package,PosX,PosY,Rot,Side
"C1","3.3uF","C_0504_1310Metric",177.250000,-100.250000,90.000000,top
"C2","0.2uF","C_0402_1005Metric",157.980000,-101.750000,0.000000,top
"C3","1uF","C_0402_1005Metric",110.500000,-74.000000,0.000000,top
"C4","1uF","C_0402_1005Metric",107.000000,-69.500000,-90.000000,top
"C5","1uF","C_0402_1005Metric",144.500000,-74.000000,0.000000,top
"C6","10uF","C_0504_1310Metric",104.500000,-69.500000,180.000000,top
"C7","10uF","C_0504_1310Metric",104.500000,-67.500000,180.000000,top
"C9","0.01uF","C_0402_1005Metric",139.000000,-63.480000,90.000000,top
"C10","1uF","C_0402_1005Metric",141.000000,-69.500000,-90.000000,top
"C11","10uF","C_0504_1310Metric",138.500000,-67.500000,180.000000,top
"C12","10uF","C_0504_1310Metric",138.500000,-69.500000,180.000000,top
"C13","1uF","C_0402_1005Metric",161.020000,-74.000000,0.000000,top
"C14","0.01uF","C_0402_1005Metric",155.500000,-63.500000,90.000000,top
"C15","1uF","C_0402_1005Metric",157.500000,-69.500000,-90.000000,top
"C16","10uF","C_0504_1310Metric",155.040000,-69.500000,180.000000,top
"C17","10uF","C_0504_1310Metric",155.000000,-67.500000,180.000000,top
"C18","1uF","C_0402_1005Metric",127.520000,-74.000000,0.000000,top
"C19","0.01uF","C_0402_1005Metric",122.000000,-63.480000,90.000000,top
"C20","1uF","C_0402_1005Metric",124.000000,-69.520000,-90.000000,top
"C21","10uF","C_0504_1310Metric",121.500000,-69.500000,180.000000,top
"C22","10uF","C_0504_1310Metric",121.500000,-67.500000,180.000000,top
"C23","0.01uF","C_0402_1005Metric",105.000000,-63.500000,90.000000,top
"D1","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",129.330000,-118.500000,180.000000,top
"D2","1N4148","D_1206_3216Metric",117.990000,-69.000000,90.000000,top
"D3","1N4148","D_1206_3216Metric",114.500000,-69.000000,90.000000,top
"D4","1N4148","D_1206_3216Metric",152.000000,-69.000000,90.000000,top
"D5","1N4148","D_1206_3216Metric",165.000000,-69.000000,90.000000,top
"D6","1N4148","D_1206_3216Metric",168.500000,-69.000000,90.000000,top
"D7","1N4148","D_1206_3216Metric",131.500000,-69.000000,90.000000,top
"D8","1N4148","D_1206_3216Metric",135.000000,-69.000000,90.000000,top
"D9","1N4148","D_1206_3216Metric",148.500000,-69.000000,90.000000,top
"D10","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",142.420000,-118.250000,0.000000,top
"FB1","FerriteBead","L_0402_1005Metric",104.000000,-60.015000,-90.000000,top
"FB2","FerriteBead","L_0402_1005Metric",139.000000,-60.000000,-90.000000,top
"FB4","FerriteBead","L_0402_1005Metric",105.000000,-60.000000,-90.000000,top
"FB5","FerriteBead","L_0402_1005Metric",154.500000,-59.985000,-90.000000,top
"FB6","FerriteBead","L_0402_1005Metric",155.500000,-59.985000,-90.000000,top
"FB7","FerriteBead","L_0402_1005Metric",121.000000,-60.000000,-90.000000,top
"FB8","FerriteBead","L_0402_1005Metric",122.000000,-59.985000,-90.000000,top
"FB9","FerriteBead","L_0402_1005Metric",138.000000,-60.000000,-90.000000,top
"J1","Conn_01x02_Socket","TerminalBlock_bornier-2_P5.08mm",177.250000,-136.580000,90.000000,top
"J2","Conn_01x02_Socket","TerminalBlock_bornier-2_P5.08mm",94.250000,-131.750000,-90.000000,top
"J3","Conn_01x02_Socket","TerminalBlock_bornier-2_P5.08mm",111.500000,-54.000000,180.000000,top
"J4","Conn_01x02_Socket","TerminalBlock_bornier-2_P5.08mm",145.500000,-54.000000,180.000000,top
"J5","Conn_01x02_Socket","TerminalBlock_bornier-2_P5.08mm",162.500000,-54.000000,180.000000,top
