Comment,Designator,Footprint,LCSC,Quantity
SE5218ALG-LF,U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C118233,1
LM1117S-5.0,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C126028,1
10uF,"C23,C24",C_0402_1005Metric,C15525,2
MAX6675ISA+T,"U10,U12,U6,U8",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C16030,4
1K,"R1,R17,R18,R2",R_0603_1608Metric,C21190,4
FerriteBead,"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8",L_0402_1005Metric,C21516,8
100,"R19,R20",R_0603_1608Metric,C22775,2
2K,"R4,R6",R_0603_1608Metric,C22975,2
5K,"R3,R5",R_0603_1608Metric,C23186,2
10K,"R15,R16,R21,R22,R23,R24,R7,R8",R_0603_1608Metric,C25804,8
AHT20-F,U2,SENSOR-SMD-6_AHT20,C3012622,1
S8550M-D,Q2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C305484,1
100nF,"C25,C26,C4,C5,C6,C7",C_0402_1005Metric,C307331,6
DB910-7.62-2P,"CN1,CN10,CN11,CN12,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9",CONN-TH_2P-P7.62_DB910-7.62-2P,C395876,12
M7F_C466485,"D1,D2,D3",SMAF_L3.5-W2.6-LS4.7-RD,C466485,3
1uF,C9,C_0402_1005Metric,C52923,1
HX711,U13,SOP-16_3.9x9.9mm_P1.27mm,C6705483,1
WSP4606,"Q1,Q3,Q4",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,C86361,3
10uF,"C10,C3,C8",C_0603_1608Metric,C96446,3
Conn_01x15_Socket,J10,PinSocket_1x15_P2.54mm_Vertical,,1
Conn_01x02_Pin,J3,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x15_Socket,J9,PinSocket_1x15_P2.54mm_Vertical,,1
Conn_01x04_Socket,J15,SolderWire-2sqmm_1x04_P7.8mm_D2mm_OD3.9mm,,1
