Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,10uF,C_0603_1608Metric,141.7,-73.75,180.0,top
C23,10uF,C_0402_1005Metric,92.5,-67.815,-90.0,top
C24,10uF,C_0402_1005Metric,89.4,-68.935001,-90.0,top
C25,100nF,C_0402_1005Metric,92.4,-75.9,90.0,top
C26,0.1uF,C_0402_1005Metric,92.499999,-78.4,-90.0,top
C3,10uF,C_0603_1608Metric,145.9,-91.35,-90.0,top
C4,100nF,C_0402_1005Metric,95.665,-63.18,-90.0,top
C5,100nF,C_0402_1005Metric,112.6,-63.2,-90.0,top
C6,100nF,C_0402_1005Metric,129.1,-63.2,-90.0,top
C7,100nF,C_0402_1005Metric,145.865,-63.18,-90.0,top
C8,10uF,C_0603_1608Metric,136.15,-84.75,90.0,top
C9,1uF,C_0402_1005Metric,145.439411,-78.239411,135.0,top
CN1,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,116.11,-111.2,0.0,top
CN10,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,148.795,-50.2075,180.0,top
CN11,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,132.71,-111.2,0.0,top
CN12,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,149.0675,-111.2075,0.0,top
CN2,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,99.6325,-111.192502,0.0,top
CN3,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,85.407498,-98.8325,-90.0,top
CN4,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,160.185,-63.835,90.0,top
CN5,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,160.185001,-96.535,90.0,top
CN6,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,160.092501,-80.1675,90.0,top
CN7,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,98.8425,-50.2,180.0,top
CN8,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,115.7,-50.2075,180.0,top
CN9,DB910-7.62-2P,CONN-TH_2P-P7.62_DB910-7.62-2P,132.31,-50.2075,180.0,top
D1,M7F_C466485,SMAF_L3.5-W2.6-LS4.7-RD,93.9,-94.75,-90.0,top
D2,M7F_C466485,SMAF_L3.5-W2.6-LS4.7-RD,94.4,-103.75,0.0,top
D3,M7F_C466485,SMAF_L3.5-W2.6-LS4.7-RD,112.3,-101.8,90.0,top
FB1,FerriteBead,L_0402_1005Metric,102.6,-59.815,-90.0,top
FB2,FerriteBead,L_0402_1005Metric,95.0,-59.8,-90.0,top
FB3,FerriteBead,L_0402_1005Metric,119.5,-59.8,-90.0,top
FB4,FerriteBead,L_0402_1005Metric,111.9,-59.8,-90.0,top
FB5,FerriteBead,L_0402_1005Metric,136.2,-59.815,-90.0,top
FB6,FerriteBead,L_0402_1005Metric,128.5,-59.8,-90.0,top
